objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,barcode,pricepaid,pp_currency,currvalue,cv_currency,acquisitiondate,acquiredfrom,quantity,privatecomment,invlocation,invdate,version_publishers,version_languages,version_yearpublished,version_nickname
"Flick 'em Up!","169124","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198665","6.7075","6.97478","1.3242","695","13755","thing","Flick 'em Up!","2","10","45","45","30","2015","2,3,4,5,6","2,4","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Food Chain Magnate","175914","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74197844","7.85837","8.15272","4.1953","28","15235","thing","Food Chain Magnate","2","5","240","240","120","2015","2,3,4,5","3,4","14+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"For Sale","172","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198181","7.10647","7.22222","1.2667","290","27252","thing","For Sale","3","6","30","30","30","1997","3,4,5,6","5","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Forbidden Desert","136063","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198255","7.02512","7.15945","2.05","354","41705","thing","Forbidden Desert","2","5","45","45","45","2013","1,2,3,4,5","4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Forbidden Island","65244","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198664","6.70756","6.80028","1.7386","694","69030","thing","Forbidden Island","2","4","30","30","30","2010","1,2,3,4","4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Forbidden Stars","175155","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74197930","7.48471","7.96721","3.8125","99","11523","thing","Forbidden Stars","2","4","180","180","120","2015","2,3,4","3","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Formula D","37904","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198441","6.86543","7.0254","1.9735","509","22558","thing","Formula D","2","10","60","60","60","2008","3,4,5,6,7,8,9,10","5,6,7,8","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"The Fox in the Forest","221965","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198329","6.96109","7.27044","1.5814","416","14667","thing","The Fox in the Forest","2","2","30","30","30","2017","2","2","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Francis Drake","140603","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198365","6.93446","7.43201","2.927","446","5881","thing","Francis Drake","3","5","120","120","90","2013","4,5","5","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Freedom: The Underground Railroad","119506","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198288","6.99939","7.60108","2.9086","382","5940","thing","Freedom: The Underground Railroad","1","4","120","120","60","2012","1,2,3,4","","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Fresco","66188","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198206","7.07948","7.29353","2.6371","311","13960","thing","Fresco","2","4","60","60","60","2010","2,3,4","4","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Friday","43570","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198304","6.9824","7.15741","2.138","395","26858","thing","Friday","1","1","25","25","25","2011","1","1","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Friedrich","12891","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198600","6.75418","7.54932","3.1532","639","3248","thing","Friedrich","3","4","210","210","210","2004","3,4","4","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Fugitive","197443","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198640","6.72264","7.24326","1.6842","673","7144","thing","Fugitive","2","2","20","20","5","2017","2","2","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Fury of Dracula (Second Edition)","20963","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198455","6.85394","7.13067","2.9514","520","9484","thing","Fury of Dracula (Second Edition)","2","5","180","180","180","2005","2,3,4,5","5","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Fury of Dracula (Third/Fourth Edition)","181279","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198080","7.23696","7.52703","3.2121","210","20141","thing","Fury of Dracula (Third/Fourth Edition)","2","5","180","180","120","2015","2,3,4,5","3,5","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"FUSE","171273","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198595","6.75801","7.06399","1.6667","634","9919","thing","FUSE","1","5","10","10","10","2015","1,2,3,4,5","4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Gaia Project","220308","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74197816","8.16094","8.49727","4.3377","7","17562","thing","Gaia Project","1","4","150","150","60","2017","1,2,3,4","3,4","14+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Galaxy Trucker","31481","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198039","7.29735","7.41562","2.3279","178","30994","thing","Galaxy Trucker","2","4","60","60","60","2007","2,3,4","4","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"The Gallerist","125153","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74197874","7.65052","8.03387","4.2861","53","12077","thing","The Gallerist","1","4","150","150","60","2015","1,2,3,4","4","14+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"A Game of Thrones","6472","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198355","6.94019","7.21917","3.4507","438","9694","thing","A Game of Thrones","3","5","180","180","180","2003","4,5","5","14+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"A Game of Thrones: The Board Game (Second Edition)","103343","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74197958","7.41463","7.61758","3.7118","123","36811","thing","A Game of Thrones: The Board Game (Second Edition)","3","6","240","240","120","2011","4,5,6","6","14+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"A Game of Thrones: The Card Game (Second Edition)","169255","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198364","6.93495","7.59494","3.5159","445","7591","thing","A Game of Thrones: The Card Game (Second Edition)","2","4","120","120","60","2015","2,3,4","2","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Gears of War: The Board Game","42776","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198380","6.92066","7.46984","2.8864","460","7192","thing","Gears of War: The Board Game","1","4","180","180","60","2011","1,2,3,4","","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Genoa","1345","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198622","6.73463","7.07863","3.0843","657","7206","thing","Genoa","2","5","120","120","60","2001","3,4,5","5","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Ghost Stories","37046","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198131","7.16748","7.33063","2.9108","252","24815","thing","Ghost Stories","1","4","60","60","60","2008","1,2,3,4","4","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Ginkgopolis","128271","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198315","6.97462","7.42858","2.914","404","4160","thing","Ginkgopolis","1","5","45","45","45","2012","1,2,3,4","2,3","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Gizmos","246192","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198214","7.06916","7.4621","1.9922","318","8876","thing","Gizmos","2","4","50","50","40","2018","2,3,4","3","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Glass Road","143693","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198130","7.16772","7.45413","2.9763","251","10627","thing","Glass Road","1","4","80","80","20","2013","1,2,3,4","2","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Glen More","66362","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198229","7.05707","7.32609","2.6738","330","8028","thing","Glen More","2","5","70","70","45","2010","2,3,4,5","4","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Glen More II: Chronicles","265188","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198211","7.07281","8.06182","3.0686","316","5211","thing","Glen More II: Chronicles","2","4","120","120","90","2019","2,3,4","3","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Gloomhaven","174430","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74197805","8.56698","8.81734","3.8387","1","60324","thing","Gloomhaven","1","4","120","120","60","2017","1,2,3,4","3","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Gloomhaven: Jaws of the Lion","291457","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74197986","7.37002","9.14707","3.5047","144","6175","thing","Gloomhaven: Jaws of the Lion","1","4","120","120","30","2020","1,2,3,4","","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Glory to Rome","19857","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198051","7.27463","7.4876","2.9279","188","13949","thing","Glory to Rome","2","5","60","60","60","2005","2,3,4,5","3,4","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Go","188","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198018","7.3295","7.63555","3.9979","163","19631","thing","Go","2","2","180","180","30","-2200","2","2","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Goa","9216","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198019","7.3274","7.59008","3.3759","164","10743","thing","Goa","2","4","90","90","90","2004","2,3,4","4","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"The Godfather: Corleone's Empire","195539","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198215","7.06714","7.56084","2.575","319","8271","thing","The Godfather: Corleone's Empire","2","5","90","90","60","2017","2,3,4,5","4","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
